cd_ref	famille	nom_vern_invmmed	nom_taxon_invmed	nom_valide	date_intro	origine	milieux	categorie_paca	
"128863"	"Plantaginaceae"	"Véronique filiforme"	"Veronica filiformis Sm., 1791"	"Veronica filiformis Sm., 1791"	"Non connue"	"Asie de l'Ouest"	"Berges et ripisylves ; Milieux anthropiques"	"Alerte"	
"129152"	"Fabaceae"	"Vesce de Dalmatie"	"Vicia dalmatica A.Kern., 1886"	"Vicia dalmatica A.Kern., 1886"	""	"Asie"	""	"Alerte"	
"129951"	"Vitaceae"	"Vigne américaine, Vigne framboisier, Vigne des chats"	"Vitis labrusca L., 1753"	"Vitis labrusca L., 1753"	""	"Amérique du Nord"	"Milieux anthropiques"	"Prévention"	
"161030"	"Sapindaceae"	"Vigne ballon, Corinde à grandes fleurs, Cardiosperme à grandes fleurs"	"Cardiospermum grandiflorum Sw., 1788"	"Cardiospermum grandiflorum Sw., 1788"	"Non connue"	"Amérique"	"Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"129959"	"Vitaceae"	"Vigne des rivages, Vigne des rives"	"Vitis riparia Michx., 1803"	"Vitis riparia Michx., 1803"	""	""	""	"Majeure"	
"129961"	"Vitaceae"	"Vigne des rochers"	"Vitis rupestris Scheele, 1848"	"Vitis rupestris Scheele, 1848"	""	"Amérique du Nord"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"717902"	"Vitaceae"	"Vigne (hybride acerifolia x riparia)"	"Vitis acerifolia x Vitis riparia"	"Vitis acerifolia x Vitis riparia"	""	""	""	"Emergente"	
"112467"	"Vitaceae"	"Vigne-vierge à trois pointes, Vigne vierge à trois becs, Vigne-vierge tricuspidée"	"Parthenocissus tricuspidata (Siebold & Zucc.) Planch., 1887"	"Parthenocissus tricuspidata (Siebold & Zucc.) Planch., 1887"	""	"Asie"	""	"Emergente"	
"112463"	"Vitaceae"	"Vigne-vierge commune"	"Parthenocissus inserta (A.Kern.) Fritsch, 1922 [syn. Parthenocissus vitacea (Knerr) Hitchc., 1894]"	"Parthenocissus inserta (A.Kern.) Fritsch, 1922"	""	"Amérique du Nord"	"Berges et ripisylves ; Forêts et maquis"	"Majeure"	
"717166"	"Boraginaceae"	"Vipérine de Madère"	"Echium candicans L.f., 1782"	"Echium candicans L.f., 1782"	"Non connue"	"Macaronésie"	"Milieux anthropiques"	"Alerte"	
"97961"	"Polygonaceae"	"Vrillée de Bal'dzhuan, Renouée de Boukhara"	"Fallopia baldschuanica (Regel) Holub, 1971 [syn. Polygonum baldschuanicum Regel, 1884]"	"Fallopia baldschuanica (Regel) Holub, 1971"	"fin-XIXe (1899)"	"Asie"	"Berges et ripisylves ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Emergente"	
"130091"	"Namaceae"	"Wigandie de Caracas"	"Wigandia urens (Ruiz & Pav.) Kunth, 1819 [syn. Wigandia caracasana Kunth, 1819]"	"Wigandia urens (Ruiz & Pav.) Kunth, 1819"	""	"Amérique du Nord"	""	"Emergente"	
"130584"	"Asparagaceae"	"Yucca glorieux, Yucca superbe, Dague espagnole"	"Yucca gloriosa L., 1753"	"Yucca gloriosa L., 1753"	""	"Amérique du Nord"	"Côtes rocheuses et falaises ; Dunes côtières et plages de sable ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Modérée"	
